Eligebloque,Tipo,Span,Estimulo,Respuesta,Letra,CorRec,ensayos.thisRepN,ensayos.thisTrialN,ensayos.thisN,ensayos.thisIndex,ensayosejem.thisRepN,ensayosejem.thisTrialN,ensayosejem.thisN,ensayosejem.thisIndex,span2.thisRepN,span2.thisTrialN,span2.thisN,span2.thisIndex,ensayos2.thisRepN,ensayos2.thisTrialN,ensayos2.thisN,ensayos2.thisIndex,span3.thisRepN,span3.thisTrialN,span3.thisN,span3.thisIndex,ensayos3.thisRepN,ensayos3.thisTrialN,ensayos3.thisN,ensayos3.thisIndex,span4.thisRepN,span4.thisTrialN,span4.thisN,span4.thisIndex,ensayos4.thisRepN,ensayos4.thisTrialN,ensayos4.thisN,ensayos4.thisIndex,span5.thisRepN,span5.thisTrialN,span5.thisN,span5.thisIndex,ensayos5.thisRepN,ensayos5.thisTrialN,ensayos5.thisN,ensayos5.thisIndex,span6.thisRepN,span6.thisTrialN,span6.thisN,span6.thisIndex,ensayos6.thisRepN,ensayos6.thisTrialN,ensayos6.thisN,ensayos6.thisIndex,text_4.started,text_4.stopped,text_6.started,text_6.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Bloque1.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.94547979999334,None,"['d', 'v', 'm', 'p']",1,"[1.0276034999988042, 1.4302465000073425, 1.9105907999910414, 2.460948499967344]",199.94547979999334,None,space,2.8670380000257865,200.42302980000386,None,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque2.xlsx,Operation,4,( 3 - 2 ) × 1 = 1,right,G,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,205.19880930002546,None,right,1,1.750500899972394,205.19880930002546,None,206.98047090001637,None,,,,,,,,,,,,203.3248151000007,None,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque2.xlsx,Operation,4,( 4 + 9 ) × 2 = 26,right,B,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,208.30278670002008,None,right,1,2.5505797000369057,208.30278670002008,None,210.901917900017,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque2.xlsx,Operation,4,( 3 + 9 ) × 1 = 12,right,Q,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,212.20683340000687,None,right,1,2.6637566999997944,212.20683340000687,None,214.90711100003682,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque2.xlsx,Operation,4,( 6 + 2 ) × 2 = 16,right,R,"['g', 'b', 'q', 'r']",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,216.21082040003967,None,right,1,1.8950700999703258,216.21082040003967,None,218.14466540003195,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque2.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.14533269999083,None,"['g', 'b', 'q', 'r']",1,"[1.2304682999965735, 1.678241399989929, 2.291871599969454, 2.8100192999700084]",219.14533269999083,None,space,3.1860891999676824,219.63394870003685,None,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque3.xlsx,Operation,4,( 4 + 8 ) × 1 = 11,right,S,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,224.73856750002597,None,left,0,3.6052756999852136,224.73856750002597,None,228.39430560002802,None,,,,,,,,,,,,222.85828700003913,None,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque3.xlsx,Operation,4,( 3 - 2 ) × 1 = 4,right,J,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,229.69150710001122,None,left,0,2.0790722999954596,229.69150710001122,None,231.82232159998966,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque3.xlsx,Operation,4,( 1 + 4 ) × 2 = 10,right,N,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,233.13030449999496,None,right,1,1.7992767000105232,233.13030449999496,None,234.9794525000034,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque3.xlsx,Operation,4,( 3 + 7 ) × 1 = 10,left,T,"['s', 'j', 'n', 't']",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,236.28251819999423,None,right,0,1.630307300016284,236.28251819999423,None,237.95695369999157,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque3.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.98579700000118,None,"['s', 'j', 'n', 't']",1,"[1.2199519000132568, 1.899948599981144, 2.3974598000058904, 3.357714199984912]",238.98579700000118,None,space,4.084012400009669,239.46119940001518,None,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque1.xlsx,Operation,5,( 5 - 2 ) × 3 = 9,right,L,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,245.4615713999956,None,right,1,2.02140430000145,245.4615713999956,None,247.52266379998764,None,,,,,,,,,,,,243.60568290000083,None,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
